SPCD,COMMON_NAME,GENUS,SPECIES,SPECIES_SYMBOL,SCI_SPEICES,TYPE
504,PEAR HAWTHORN,CRATAEGUS,CALPODENDRON,CRCA,CRATAEGUS CALPODENDRON,DECIDUOUS
505,FIREBERRY HAWTHORN,CRATAEGUS,CHRYSOCARPA,CRCH,CRATAEGUS CHRYSOCARPA,DECIDUOUS
506,BROADLEAF HAWTHORN,CRATAEGUS,DILATATA,CRDI,CRATAEGUS DILATATA,DECIDUOUS
507,FANLEAF HAWTHORN,CRATAEGUS,FLABELLATA,CRFL,CRATAEGUS FLABELLATA,DECIDUOUS
508,ONESEED HAWTHORN,CRATAEGUS,MONOGYNA,CRMO3,CRATAEGUS MONOGYNA,DECIDUOUS
509,SCARLET HAWTHORN,CRATAEGUS,PEDICELLATA,CRPE,CRATAEGUS PEDICELLATA,DECIDUOUS
510,EUCALYPTUS SPP.,EUCALYPTUS,SPP.,EUCAL,EUCALYPTUS SPP.,DECIDUOUS
511,TASMANIAN BLUEGUM,EUCALYPTUS,GLOBULUS,EUGL,EUCALYPTUS GLOBULUS,DECIDUOUS
512,RIVER REDGUM,EUCALYPTUS,CAMALDULENSIS,EUCA2,EUCALYPTUS CAMALDULENSIS,DECIDUOUS
513,GRAND EUCALYPTUS,EUCALYPTUS,GRANDIS,EUGR12,EUCALYPTUS GRANDIS,DECIDUOUS
514,SWAMPMAHOGANY,EUCALYPTUS,ROBUSTA,EURO2,EUCALYPTUS ROBUSTA,DECIDUOUS
520,PERSIMMON SPP.,DIOSPYROS,SPP.,DIOSP,DIOSPYROS SPP.,DECIDUOUS
521,COMMON PERSIMMON,DIOSPYROS,VIRGINIANA,DIVI5,DIOSPYROS VIRGINIANA,DECIDUOUS
522,TEXAS PERSIMMON,DIOSPYROS,TEXANA,DITE3,DIOSPYROS TEXANA,DECIDUOUS
523,ANACUA KNOCKAWAY,EHRETIA,ANACUA,EHAN,EHRETIA ANACUA,DECIDUOUS
531,AMERICAN BEECH,FAGUS,GRANDIFOLIA,FAGR,FAGUS GRANDIFOLIA,DECIDUOUS
540,ASH SPP.,FRAXINUS,SPP.,FRAXI,FRAXINUS SPP.,DECIDUOUS
541,WHITE ASH,FRAXINUS,AMERICANA,FRAM2,FRAXINUS AMERICANA,DECIDUOUS
542,OREGON ASH,FRAXINUS,LATIFOLIA,FRLA,FRAXINUS LATIFOLIA,DECIDUOUS
543,BLACK ASH,FRAXINUS,NIGRA,FRNI,FRAXINUS NIGRA,DECIDUOUS
544,GREEN ASH,FRAXINUS,PENNSYLVANICA,FRPE,FRAXINUS PENNSYLVANICA,DECIDUOUS
545,PUMPKIN ASH,FRAXINUS,PROFUNDA,FRPR,FRAXINUS PROFUNDA,DECIDUOUS
546,BLUE ASH,FRAXINUS,QUADRANGULATA,FRQU,FRAXINUS QUADRANGULATA,DECIDUOUS
547,VELVET ASH,FRAXINUS,VELUTINA,FRVE2,FRAXINUS VELUTINA,DECIDUOUS
548,CAROLINA ASH,FRAXINUS,CAROLINIANA,FRCA3,FRAXINUS CAROLINIANA,DECIDUOUS
549,TEXAS ASH,FRAXINUS,TEXENSIS,FRTE,FRAXINUS TEXENSIS,DECIDUOUS
550,HONEYLOCUST SPP.,GLEDITSIA,SPP.,GLEDI,GLEDITSIA SPP.,DECIDUOUS
551,WATERLOCUST,GLEDITSIA,AQUATICA,GLAQ,GLEDITSIA AQUATICA,DECIDUOUS
552,HONEYLOCUST,GLEDITSIA,TRIACANTHOS,GLTR,GLEDITSIA TRIACANTHOS,DECIDUOUS
555,LOBLOLLY-BAY,GORDONIA,LASIANTHUS,GOLA,GORDONIA LASIANTHUS,DECIDUOUS
561,"GINKGO, MAIDENHAIR TREE",GINKGO,BILOBA,GIBI2,GINKGO BILOBA,DECIDUOUS
571,KENTUCKY COFFEETREE,GYMNOCLADUS,DIOICUS,GYDI,GYMNOCLADUS DIOICUS,DECIDUOUS
580,SILVERBELL SPP.,HALESIA,SPP.,HALES,HALESIA SPP.,DECIDUOUS
581,CAROLINA SILVERBELL,HALESIA,CAROLINA,HACA3,HALESIA CAROLINA,DECIDUOUS
